Character name	Freebase character ID	title	filtered_descriptions	X	Y	Z	labels	Wikipedia ID	death	romance	Release date	Gender	Height	Ethnicity	Actor name	Actor age at release	Box office revenue	Genres	Name
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14437776		False	1941.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	All the World's a Stooge
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14746644		False		M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Bubble Trouble
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14737134		False	1947.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Fright Night
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14526240		False	1943.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Higher Than a Kite
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14737096		False	1946.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Three Little Pirates
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14739468		False	1951.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Scrambled Brains
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14747011		False	1956.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	For Crimin' Out Loud
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14738217		False	1949.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Vagabond Loafers
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	2567937		False	1947.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Brideless Groom
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	14734214		False	1956.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Scheming Schemers
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	27381879		False	1949.0	M	1.62		Moe Howard			['Short Film']	Jerks of All Trades
Moe	/m/0h577m2		['tell', 'manage', 'use']	-12.531178	-1.067395	-6.4612694	2	6435577		False	1935.0	M	1.62		Moe Howard			['Comedy', 'Black-and-white', 'Short Film']	Uncivil Warriors
